sentence,log-prob-pcfg_mean,rating_gram_mean,rating_frequency_mean,rating_conversational_mean,dep_length_mean,avg_word_freq_zipf,avg_word_length
The woman you suspect of murder.,-12.4619057142857,5.125,2.8,3.375,1.5714285714285714,6.138333333333333,4.333333333333333
Their food and sweets are awesome.,-11.1285571428571,6.4705882352941,5.6428571428571,6.3076923076923,1.4285714285714286,5.736666666666667,4.666666666666667
Their hearts beat in rhythm together.,-13.1793757142857,6.6470588235294,5.0625,3.6,1.5714285714285714,5.426666666666666,5.166666666666667
Their relationship took off from there.,-9.2237457142857,6.75,6.0588235294118,5.8666666666667,1.4285714285714286,5.976666666666667,5.5
Their stay was tranquil and pleasant.,-11.21601,7.0,5.2222222222222,4.2,1.4285714285714286,5.541666666666667,5.166666666666667
Then he realized he was hungry.,-9.8960942857143,6.7272727272727,6.263157894736801,3.5,1.5714285714285714,5.885000000000001,4.166666666666667
Then it escaped onto the Internet.,-11.00388,6.1875,3.8,3.375,1.5714285714285714,5.793333333333333,4.666666666666667
Then she laughed a barking laugh.,-11.7481214285714,6.1764705882353,2.4705882352941,2.9375,1.8571428571428572,5.349999999999999,4.5
Then she smiled faintly and nodded.,-12.6773814285714,6.6875,4.4666666666667,3.25,1.8571428571428572,5.006666666666667,4.833333333333333
Then you must keep it true.,-8.24926,6.2307692307692,3.5882352941176,3.9166666666667,1.7142857142857142,6.123333333333334,3.5
Then you're lucky I came along.,-9.96318125,6.5454545454545,5.3125,6.5,1.625,5.86,3.5714285714285716
"Then, there was a brief drizzle.",-8.78767375,6.1764705882353,4.7857142857143,4.3076923076923,2.0,5.704999999999999,4.166666666666667
There are seldom any other kind.,-9.3541814285714,6.4117647058824,4.3529411764706,4.5625,2.0,5.726666666666667,4.333333333333333
There is no brain function left.,-10.7540542857143,6.5333333333333,4.4444444444444,4.2666666666667,1.8571428571428572,5.845,4.333333333333333
