>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)


[WITHIN-SPLIT] Processing Lang_LH_IFGorb (3/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=0 | mean r=-0.124
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=1 | mean r=-0.125
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.095
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=3 | mean r=-0.103
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=4 | mean r=-0.131
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=5 | mean r=-0.115
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=6 | mean r=-0.145
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=7 | mean r=-0.130
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=8 | mean r=-0.139
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=9 | mean r=-0.130
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=10 | mean r=-0.148
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=11 | mean r=-0.098
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=12 | mean r=-0.056
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=13 | mean r=-0.055
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=14 | mean r=-0.119
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=15 | mean r=-0.117
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=16 | mean r=-0.096
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=17 | mean r=-0.096
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=18 | mean r=-0.107
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=19 | mean r=-0.097
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=20 | mean r=-0.070
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=21 | mean r=-0.095
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=22 | mean r=-0.093
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=23 | mean r=-0.117
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFGorb | layer=24 | mean r=-0.079


[WITHIN-SPLIT] Processing Lang_LH_MFG (4/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=0 | mean r=-0.159
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=1 | mean r=-0.150
