>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-within
>>> Loaded fMRI data
Processing - native mode (within)


Processing Lang_LH_AntTemp (1/6)
Processing Lang_LH_PostTemp (5/6)
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=0 | mean r=0.105
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=1 | mean r=0.021
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=2 | mean r=-0.015
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=3 | mean r=-0.001
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=4 | mean r=-0.007
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=5 | mean r=0.033
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=6 | mean r=0.038
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=7 | mean r=0.060
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=8 | mean r=0.071
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=9 | mean r=0.067
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=10 | mean r=0.053
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=11 | mean r=0.066
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=12 | mean r=0.092
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=13 | mean r=0.107
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=14 | mean r=0.115
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=15 | mean r=0.128
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=16 | mean r=0.141
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=17 | mean r=0.147
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=18 | mean r=0.145
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=19 | mean r=0.141
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=20 | mean r=0.153
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=21 | mean r=0.154
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=22 | mean r=0.155
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=23 | mean r=0.155
WITHIN     xglm_med | fROI=Lang_LH_PostTemp | layer=24 | mean r=0.140


Processing all (6/6)
WITHIN     xglm_med | fROI=all | layer=0 | mean r=0.234
WITHIN     xglm_med | fROI=all | layer=1 | mean r=0.127
WITHIN     xglm_med | fROI=all | layer=2 | mean r=0.115
WITHIN     xglm_med | fROI=all | layer=3 | mean r=0.111
WITHIN     xglm_med | fROI=all | layer=4 | mean r=0.098
WITHIN     xglm_med | fROI=all | layer=5 | mean r=0.124
WITHIN     xglm_med | fROI=all | layer=6 | mean r=0.121
WITHIN     xglm_med | fROI=all | layer=7 | mean r=0.139
WITHIN     xglm_med | fROI=all | layer=8 | mean r=0.146
WITHIN     xglm_med | fROI=all | layer=9 | mean r=0.178
WITHIN     xglm_med | fROI=all | layer=10 | mean r=0.132
WITHIN     xglm_med | fROI=all | layer=11 | mean r=0.137
WITHIN     xglm_med | fROI=all | layer=12 | mean r=0.138
WITHIN     xglm_med | fROI=all | layer=13 | mean r=0.147
WITHIN     xglm_med | fROI=all | layer=14 | mean r=0.190
WITHIN     xglm_med | fROI=all | layer=15 | mean r=0.196
WITHIN     xglm_med | fROI=all | layer=16 | mean r=0.207
WITHIN     xglm_med | fROI=all | layer=17 | mean r=0.225
WITHIN     xglm_med | fROI=all | layer=18 | mean r=0.231
WITHIN     xglm_med | fROI=all | layer=19 | mean r=0.239
WITHIN     xglm_med | fROI=all | layer=20 | mean r=0.254
WITHIN     xglm_med | fROI=all | layer=21 | mean r=0.247
WITHIN     xglm_med | fROI=all | layer=22 | mean r=0.252
WITHIN     xglm_med | fROI=all | layer=23 | mean r=0.257
WITHIN     xglm_med | fROI=all | layer=24 | mean r=0.237


Processing Lang_LH_AntTemp (1/6)
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.258
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=1 | mean r=0.283
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.285
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=3 | mean r=0.264
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=4 | mean r=0.248
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.222
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.228
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.233
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.227
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.252
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.265
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.261
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.260
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.277
