>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=13 | mean r=0.142
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=14 | mean r=0.154
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=15 | mean r=0.154
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=16 | mean r=0.153
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=17 | mean r=0.160
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=18 | mean r=0.152
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=19 | mean r=0.140
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=20 | mean r=0.134
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=21 | mean r=0.147
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=22 | mean r=0.146
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=23 | mean r=0.170
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=24 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=25 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=26 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=27 | mean r=0.178
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=28 | mean r=0.181
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=29 | mean r=0.179
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=30 | mean r=0.172
