model,fold,comparison,r_test,r_ref,z,p_two
bert_base,0,syntax_ablated vs intact,0.13542551047905213,0.3639245346203364,-1.1627987592863147,0.24491116067903373
bert_base,1,syntax_ablated vs intact,0.10619026726616117,0.49491015295687335,-2.0678942776457805,0.03864996563590761
bert_base,2,syntax_ablated vs intact,0.13091225644978594,0.41323292383183124,-1.4601931101702967,0.14423700835054154
bert_base,3,syntax_ablated vs intact,0.19493041776947648,0.5124872678264878,-1.7486126776324729,0.08035799339034289
bert_base,4,syntax_ablated vs intact,0.03203605079545521,0.407665462956264,-1.9009770598321214,0.057305017440578476
bert_base,0,semantics_ablated vs syntax_ablated,0.10227431961551975,0.13542551047905213,-0.15951860177356794,0.8732603038685518
bert_base,1,semantics_ablated vs syntax_ablated,0.07219637562857321,0.10619026726616117,-0.16255655397384436,0.8708675967939883
bert_base,2,semantics_ablated vs syntax_ablated,0.13005213415617844,0.13091225644978594,-0.004150584754198189,0.996688322014899
bert_base,3,semantics_ablated vs syntax_ablated,0.21479581236826428,0.19493041776947648,0.09836177723794448,0.9216450248004897
bert_base,4,semantics_ablated vs syntax_ablated,0.03418921318103811,0.03203605079545521,0.010224560616141637,0.9918421230832735
xglm_large,0,semantics_ablated vs intact,0.035007412846827644,0.2945213032266359,-1.273550958357534,0.20282260200695124
xglm_large,1,semantics_ablated vs intact,0.0748185533593679,0.4891550731121201,-2.181926136173779,0.02911498455404926
xglm_large,2,semantics_ablated vs intact,0.07213165523025654,0.415863076649646,-1.7570678751892148,0.07890624059451179
xglm_large,3,semantics_ablated vs intact,0.13752146473916405,0.4462960115616472,-1.6206691346458604,0.10508861654500867
xglm_large,4,semantics_ablated vs intact,0.09495219242138175,0.3346525153962081,-1.1992272328537197,0.23043960081794768
xglm_large,0,syntax_ablated vs intact,0.05919350861513603,0.2945213032266359,-1.158565487641321,0.2466333434572756
xglm_large,1,syntax_ablated vs intact,0.14434723205931857,0.4891550731121201,-1.8479712592821822,0.0646065006840344
xglm_large,2,syntax_ablated vs intact,0.1003148548282084,0.415863076649646,-1.6223726533423013,0.10472358088338507
xglm_large,3,syntax_ablated vs intact,0.14764878028435902,0.4462960115616472,-1.571633689228973,0.11603552872648715
xglm_large,4,syntax_ablated vs intact,0.04530241512658398,0.3346525153962081,-1.4359505713502194,0.15101640678303152
xglm_large,0,semantics_ablated vs syntax_ablated,0.035007412846827644,0.05919350861513603,-0.11498547071621307,0.908456638341431
xglm_large,1,semantics_ablated vs syntax_ablated,0.0748185533593679,0.14434723205931857,-0.3339548768915968,0.7384136087584756
xglm_large,2,semantics_ablated vs syntax_ablated,0.07213165523025654,0.1003148548282084,-0.1346952218469135,0.8928528511761042
xglm_large,3,semantics_ablated vs syntax_ablated,0.13752146473916405,0.14764878028435902,-0.04903544541688728,0.9608910485461939
xglm_large,4,semantics_ablated vs syntax_ablated,0.09495219242138175,0.04530241512658398,0.23672333849649974,0.8128714279959339
xlm_align,0,semantics_ablated vs intact,0.1267256223895571,0.32082230059361555,-0.9731255279990216,0.3304909179068045
xlm_align,1,semantics_ablated vs intact,0.10795354831033226,0.5020893967091888,-2.1047489171844083,0.035313169914956255
xlm_align,2,semantics_ablated vs intact,0.2581769807253346,0.4795006060689569,-1.2246617738176988,0.2207026824888909
xlm_align,3,semantics_ablated vs intact,0.23472082797729726,0.5021715960004263,-1.4848130416628333,0.13759335619746538
xlm_align,4,semantics_ablated vs intact,0.21169840156268793,0.4240667889834634,-1.1274692021614081,0.2595441547252122
xlm_align,0,syntax_ablated vs intact,0.13572372605865723,0.32082230059361555,-0.9296956014571325,0.35252871252094287
xlm_align,1,syntax_ablated vs intact,0.09478610839710494,0.5020893967091888,-2.16785700726696,0.030169567835251154
xlm_align,2,syntax_ablated vs intact,0.21822517927052326,0.4795006060689569,-1.4256044085310282,0.15398256300609536
xlm_align,3,syntax_ablated vs intact,0.32471904755794784,0.5021715960004263,-1.0212214663056038,0.3071495242328517
xlm_align,4,syntax_ablated vs intact,0.1773613880490198,0.4240667889834634,-1.2967698671643786,0.19471038155325204
xlm_align,0,semantics_ablated vs syntax_ablated,0.1267256223895571,0.13572372605865723,-0.0434299265418892,0.9653588222696694
xlm_align,1,semantics_ablated vs syntax_ablated,0.10795354831033226,0.09478610839710494,0.0631080900825515,0.9496804321881716
xlm_align,2,semantics_ablated vs syntax_ablated,0.2581769807253346,0.21822517927052326,0.20094263471332927,0.8407434298841141
xlm_align,3,semantics_ablated vs syntax_ablated,0.23472082797729726,0.32471904755794784,-0.46359157535722945,0.6429403913716292
xlm_align,4,semantics_ablated vs syntax_ablated,0.21169840156268793,0.1773613880490198,0.16930066500297034,0.8655601529361805
nllb200_distilled_1B,0,semantics_ablated vs intact,0.050442014740117155,0.311304110525936,-1.2878563322872525,0.19779597864681175
nllb200_distilled_1B,1,semantics_ablated vs intact,0.03208141952473835,0.504402515665555,-2.4812862887033,0.013090918406644114
nllb200_distilled_1B,2,semantics_ablated vs intact,0.11106886222398353,0.42277509732977214,-1.6105667560814487,0.10727418448052228
nllb200_distilled_1B,3,semantics_ablated vs intact,0.1671289039011175,0.5251878579982725,-1.967404164373629,0.049136634640376986
nllb200_distilled_1B,4,semantics_ablated vs intact,0.06984481085761918,0.4559101320049672,-2.0025628484811735,0.045224230900956286
nllb200_distilled_1B,0,syntax_ablated vs intact,0.08790022459438307,0.311304110525936,-1.1093008360428689,0.26730042456107794
nllb200_distilled_1B,1,syntax_ablated vs intact,0.15855891702956715,0.504402515665555,-1.8750033394022099,0.0607922641218781
nllb200_distilled_1B,2,syntax_ablated vs intact,0.13996002847151112,0.42277509732977214,-1.4713199379831892,0.14120461379414118
nllb200_distilled_1B,3,syntax_ablated vs intact,0.2141035681635558,0.5251878579982725,-1.736131631757139,0.08254056247500818
nllb200_distilled_1B,4,syntax_ablated vs intact,0.1809315565521052,0.4559101320049672,-1.4666189885132472,0.14247973160463
nllb200_distilled_1B,0,semantics_ablated vs syntax_ablated,0.050442014740117155,0.08790022459438307,-0.17855549624438385,0.8582867416491413
nllb200_distilled_1B,1,semantics_ablated vs syntax_ablated,0.03208141952473835,0.15855891702956715,-0.6062829493010901,0.5443268790063209
