model,language,comparison,r_test,r_ref,z,p_two
distilmbert,Mandarin,semantics_ablated vs syntax_ablated,0.1405103194446268,0.1469451934490992,-0.05235932540496139,0.958242383260276
distilmbert,Polish,semantics_ablated vs intact,0.1234503895403897,0.03327218755182,0.7235477046682522,0.46934345681986445
distilmbert,Polish,syntax_ablated vs intact,0.0047816147990516,0.03327218755182,-0.22713011898477567,0.8203225644382925
distilmbert,Polish,semantics_ablated vs syntax_ablated,0.1234503895403897,0.0047816147990516,0.9506778236530278,0.34176794903387675
distilmbert,Portuguese,semantics_ablated vs intact,0.0720641926259929,0.1601470990499043,-0.7119890429880317,0.47647156106095734
distilmbert,Portuguese,syntax_ablated vs intact,0.2070039549480224,0.1601470990499043,0.3864931030796431,0.6991315095118873
distilmbert,Portuguese,semantics_ablated vs syntax_ablated,0.0720641926259929,0.2070039549480224,-1.0984821460676748,0.2719940096089868
distilmbert,Russian,semantics_ablated vs intact,-0.0318561776788136,-0.0125132394171928,-0.15421857243951234,0.8774373986819834
distilmbert,Russian,syntax_ablated vs intact,0.1289089482108909,-0.0125132394171928,1.132702044975898,0.257339398615851
distilmbert,Russian,semantics_ablated vs syntax_ablated,-0.0318561776788136,0.1289089482108909,-1.2869206174154104,0.19812195828983992
infoxlm_base,Arabic,semantics_ablated vs intact,-0.0107255685099994,-0.0074159667754527,-0.02637538024556664,0.9789579310350507
infoxlm_base,Arabic,syntax_ablated vs intact,0.0374365968961926,-0.0074159667754527,0.3575566844386589,0.7206750987623638
infoxlm_base,Arabic,semantics_ablated vs syntax_ablated,-0.0107255685099994,0.0374365968961926,-0.3839320646842255,0.7010288000705667
infoxlm_base,German,semantics_ablated vs intact,0.0408418463402102,0.0686749367154147,-0.2224748560013112,0.8239442448301915
infoxlm_base,German,syntax_ablated vs intact,-0.0460842083852068,0.0686749367154147,-0.9156029702161352,0.3598751729143266
infoxlm_base,German,semantics_ablated vs syntax_ablated,0.0408418463402102,-0.0460842083852068,0.693128114214824,0.4882291557069909
infoxlm_base,Hindi,semantics_ablated vs intact,-0.0450651789989912,-0.0940641867660761,0.3924369974066074,0.6947353539852461
infoxlm_base,Hindi,syntax_ablated vs intact,-0.0749744836057646,-0.0940641867660761,0.15321921356485338,0.8782254063381236
infoxlm_base,Hindi,semantics_ablated vs syntax_ablated,-0.0450651789989912,-0.0749744836057646,0.23921778384175404,0.8109367134255352
infoxlm_base,Italian,semantics_ablated vs intact,0.1094313714484563,0.0918423270265119,0.14159950809015362,0.887396355504924
infoxlm_base,Italian,syntax_ablated vs intact,0.1943130614053351,0.0918423270265119,0.8344311082048014,0.404038093531891
infoxlm_base,Italian,semantics_ablated vs syntax_ablated,0.1094313714484563,0.1943130614053351,-0.6928316001146477,0.4884152387193099
infoxlm_base,Korean,semantics_ablated vs intact,0.220364389040245,0.1478344678286145,0.5985542973667953,0.5494701405317235
infoxlm_base,Korean,syntax_ablated vs intact,0.1564114224407073,0.1478344678286145,0.06996667727756385,0.9442201822955429
infoxlm_base,Korean,semantics_ablated vs syntax_ablated,0.220364389040245,0.1564114224407073,0.5285876200892314,0.5970915501216159
infoxlm_base,Mandarin,semantics_ablated vs intact,-0.1280859528033116,-0.1069272629390032,-0.17097453210853022,0.864243791142504
infoxlm_base,Mandarin,syntax_ablated vs intact,-0.1459196751844991,-0.1069272629390032,-0.3158085483267371,0.7521478293106909
infoxlm_base,Mandarin,semantics_ablated vs syntax_ablated,-0.1280859528033116,-0.1459196751844991,0.14483401621820685,0.8848419243234245
infoxlm_base,Polish,semantics_ablated vs intact,0.2203416702197097,0.1548292939386379,0.5413177365410917,0.5882885973827103
infoxlm_base,Polish,syntax_ablated vs intact,0.2414057091956104,0.1548292939386379,0.7186297409745147,0.4723690835451939
infoxlm_base,Polish,semantics_ablated vs syntax_ablated,0.2203416702197097,0.2414057091956104,-0.17731200443342296,0.8592633220209782
