layer,r_mean,r_std,lang,r_transf,r_random
20,0.4011316834519488,0.1140173943074002,no,0.24107712438451306,0.002874680336032149
20,0.4011316834519488,0.1140173943074002,fa,0.49586949673473085,-0.145156967106619
20,0.4011316834519488,0.1140173943074002,fr,0.09384993653897863,-0.09129793687959416
20,0.4011316834519488,0.1140173943074002,ro,0.35946428190439383,-0.13541594823691372
21,0.40106392655422934,0.13041170324640186,es,0.1816826776218446,-0.2157335709224499
21,0.40106392655422934,0.13041170324640186,mr,0.17369052024380044,0.42639530059334274
21,0.40106392655422934,0.13041170324640186,af,0.07887374965498568,-0.15247308265840995
21,0.40106392655422934,0.13041170324640186,vi,0.24812585642520252,-0.056411218086081676
21,0.40106392655422934,0.13041170324640186,ta,0.5041777787417732,-0.2646307281464929
21,0.40106392655422934,0.13041170324640186,lt,0.4312850947467132,-0.289366576980785
21,0.40106392655422934,0.13041170324640186,tr,0.42364085442726235,0.03579291817940686
21,0.40106392655422934,0.13041170324640186,nl,-0.003060783188278854,-0.03209175201760057
21,0.40106392655422934,0.13041170324640186,no,0.18769323549872358,-0.009340067254186074
21,0.40106392655422934,0.13041170324640186,fa,0.4950945403992577,-0.20802211570297335
21,0.40106392655422934,0.13041170324640186,fr,0.1520692940496466,-0.09941348432564201
21,0.40106392655422934,0.13041170324640186,ro,0.3467969549154848,-0.1616051450509244
22,0.399763899217191,0.12123891144320251,es,0.09998568464441053,-0.10081221903516926
22,0.399763899217191,0.12123891144320251,mr,0.0724387264979856,0.049922302057032596
22,0.399763899217191,0.12123891144320251,af,-0.005036247181260928,-0.04991704106369052
22,0.399763899217191,0.12123891144320251,vi,0.12215747230285884,-0.013231992130200623
22,0.399763899217191,0.12123891144320251,ta,0.14070335516254837,-0.053408159286874174
22,0.399763899217191,0.12123891144320251,lt,0.19742643714762872,-0.15246956311030152
22,0.399763899217191,0.12123891144320251,tr,0.17745094980199244,-0.02506802050434487
22,0.399763899217191,0.12123891144320251,nl,-0.10627003959046595,0.07336888157346498
22,0.399763899217191,0.12123891144320251,no,-0.004384902403894822,0.051121698766437254
22,0.399763899217191,0.12123891144320251,fa,0.2761013046313858,-0.14977420198196784
22,0.399763899217191,0.12123891144320251,fr,0.08297351780669573,-0.08799144641715749
22,0.399763899217191,0.12123891144320251,ro,0.15116570217501607,-0.023726639278950974
23,0.40516886629094717,0.12054100890645857,es,0.1588100401245217,-0.0889672599156681
23,0.40516886629094717,0.12054100890645857,mr,0.11740232781865637,0.04204796677548159
23,0.40516886629094717,0.12054100890645857,af,0.0035025733806039764,-0.06615182628600329
23,0.40516886629094717,0.12054100890645857,vi,0.19491461050210085,-0.0009427483028465938
23,0.40516886629094717,0.12054100890645857,ta,0.2837289764761586,-0.0630465008336403
23,0.40516886629094717,0.12054100890645857,lt,0.3368434819920605,-0.13784565113042882
23,0.40516886629094717,0.12054100890645857,tr,0.28605701765827635,-0.027871163162093746
23,0.40516886629094717,0.12054100890645857,nl,-0.04487980055709858,0.05302968405313888
23,0.40516886629094717,0.12054100890645857,no,0.04376877692226075,0.05190593517799529
23,0.40516886629094717,0.12054100890645857,fa,0.44004862369298,-0.15235011904487467
23,0.40516886629094717,0.12054100890645857,fr,0.1191456012676808,-0.13296666112151395
