dataset,perturb_type,model,language,r1,r2,r3,r_mean,r_sd
Tuckute2024,nounsverbsadj,nllb200_1B,Russian,0.44912238747138594,0.25213261340148885,0.14495735566411974,0.2820707855123315,0.12596643006659258
Tuckute2024,verbs,nllb200_1B,Russian,-0.057766761486192725,0.14154651986795097,0.05601961071735722,0.04659978969970516,0.08164147557886846
Tuckute2024,1LocalWordSwap,nllb200_1B,Mandarin,0.21021512748399646,-0.1471894957612374,0.13966488778109304,0.06756350650128402,0.1545606096134225
Tuckute2024,2LocalWordSwap,nllb200_1B,Mandarin,0.1477686941364495,-0.0884468001581328,0.1663484600615176,0.07522345134661143,0.1159806459319176
Tuckute2024,3LocalWordSwaps,nllb200_1B,Mandarin,0.1850534029672585,-0.0875852206791918,0.2013806837405809,0.09961628867621586,0.13253917371371082
Tuckute2024,4LocalWordSwaps,nllb200_1B,Mandarin,0.20856092765533518,-0.1438621948610774,0.11701375703758621,0.060570829943947996,0.14930922573689792
Tuckute2024,5LocalWordSwaps,nllb200_1B,Mandarin,0.224032239724488,-0.1373879374258709,0.15419630135790569,0.08028020121884093,0.1565329113587627
Tuckute2024,Reversed,nllb200_1B,Mandarin,0.151231903360567,-0.119537264965381,0.2561799954090932,0.09595821126809306,0.15828718776109732
Tuckute2024,contentwords,nllb200_1B,Mandarin,0.12802794291229092,-0.019016230303253917,0.07846320471342728,0.062491639107488096,0.0610836333785595
Tuckute2024,functionwords,nllb200_1B,Mandarin,0.07937783079331526,0.10908577804360335,-0.006634761477079813,0.060609615786612926,0.04907134423566605
Tuckute2024,intact,nllb200_1B,Mandarin,0.1313761620294618,-0.10278255901438085,0.19465296897120551,0.07441552399542882,0.12793320924333715
Tuckute2024,nouns,nllb200_1B,Mandarin,0.1547586580503656,-0.10531925756987062,0.06327511968494305,0.03757150672181268,0.1077207418524414
Tuckute2024,nounsverbs,nllb200_1B,Mandarin,0.15748006090984312,-0.13054383511899995,0.07360427026729387,0.03351349868604568,0.12095424381529106
Tuckute2024,nounsverbsadj,nllb200_1B,Mandarin,0.185056851015241,-0.09574300747966884,0.11057254324210752,0.0666287955925599,0.1187726956580108
Tuckute2024,verbs,nllb200_1B,Mandarin,0.061614477549600304,-0.22565246852068932,-0.027400766131281222,-0.06381291903412341,0.12006930841643822
Tuckute2024,1LocalWordSwap,nllb200_1B,Polish,-0.05888694638735875,-0.09023954471416185,0.25433644081796647,0.03506998323881529,0.1555722359976071
Tuckute2024,2LocalWordSwap,nllb200_1B,Polish,-0.08717665281278818,-0.20542853665706595,0.13942251519269427,-0.051060891425719956,0.1430823146674604
Tuckute2024,3LocalWordSwaps,nllb200_1B,Polish,-0.035554610110326464,-0.22142541033728178,0.17649974282760508,-0.026826759206667727,0.16256944857787609
Tuckute2024,4LocalWordSwaps,nllb200_1B,Polish,-0.07758869905437714,-0.16796495251320082,0.13538945509965392,-0.03672139882264135,0.12717068930040346
Tuckute2024,5LocalWordSwaps,nllb200_1B,Polish,0.006310743405717662,-0.2172373111896243,0.18663033983918906,-0.008098742648239196,0.16519280624598887
Tuckute2024,Reversed,nllb200_1B,Polish,-0.15221283423528745,-0.1392272462355141,0.06190206835086925,-0.0765126707066441,0.0980174690729314
Tuckute2024,contentwords,nllb200_1B,Polish,-0.15182588317274717,-0.1001754637146598,0.2508972906042515,-0.00036801876105182113,0.17891829275841764
Tuckute2024,functionwords,nllb200_1B,Polish,-0.1400855133150934,-0.03641594149310149,-0.15606132753203755,-0.11085426078007747,0.0530383772607214
Tuckute2024,intact,nllb200_1B,Polish,-0.004086856053771339,-0.02524723521512569,0.28817725702347946,0.08628105525152747,0.14302330259790683
Tuckute2024,nouns,nllb200_1B,Polish,-0.15455941864630943,-0.07826030153207025,0.10677130986527243,-0.04201613677103575,0.10972288435119112
Tuckute2024,nounsverbs,nllb200_1B,Polish,-0.14067064099786145,-0.17009738706974187,0.19197491222425603,-0.03959770528111575,0.16418666456163372
