train,condition,language,model,roi,r1,r2,r3,r_mean,r_sd
main,experimental,Arabic,bert_base,PostTemp,-0.24684694864338302,0.22222117406332542,0.06158578328390933,0.01232000290128391,0.19463909126454315
main,experimental,Arabic,mdeberta,AntTemp,0.06525947328992704,0.020978798705903363,-0.07749647525517502,0.0029139322468851266,0.05966333190712465
main,experimental,Arabic,mdeberta,IFG,0.014782568329360032,-0.0765158131841065,0.13659516678159694,0.024953973975616828,0.08729897122380133
main,experimental,Arabic,mdeberta,IFGorb,0.024394583391794303,-0.07234338743805425,-0.12823788781152082,-0.05872889728592692,0.06305121501860998
main,experimental,Arabic,mdeberta,MFG,0.1589783059246237,0.02370247435545313,0.2800195305946721,0.15423343695824965,0.10469477435515674
main,experimental,Arabic,mdeberta,PostTemp,0.08229174581323434,0.15335684802763924,-0.0163999390055312,0.07308288494511413,0.0696081605600119
main,experimental,Arabic,mt5_small,AntTemp,-0.18059094822016156,0.00872059244272796,0.07023716580206132,-0.033877729991790756,0.10673846073983119
main,experimental,Arabic,mt5_small,IFG,0.14598422172458944,0.15090327667102935,-0.08097759477345885,0.07196996787405331,0.10816890177018691
main,experimental,Arabic,mt5_small,IFGorb,0.015530706187166881,0.1228289079550994,-0.16185549279952247,-0.00783195955241873,0.11739012627729598
main,experimental,Arabic,mt5_small,MFG,0.24974243828460826,0.2805037793974133,0.10308164816371518,0.21110928861524555,0.07741250266336583
main,experimental,Arabic,mt5_small,PostTemp,0.029540080687028666,0.12693613632759562,0.12804164142020605,0.09483928614494345,0.04617571663730965
main,experimental,Arabic,mt5_base,AntTemp,-0.23504903387523482,0.046870714807049824,-0.22849271428248927,-0.13889034445022475,0.13138017274038236
main,experimental,Arabic,mt5_base,IFG,-0.03558583415583711,0.2508512830420395,-0.1375252079032341,0.025913413660989437,0.1644094336126887
main,experimental,Arabic,mt5_base,IFGorb,-0.22542447789466682,-0.0031253471797568224,-0.28828190433036,-0.17227724313492787,0.12233025502971155
main,experimental,Arabic,mt5_base,MFG,0.13202281382370334,0.27644179737724234,-0.0874736983126706,0.10699697096275836,0.14961805062443567
main,experimental,Arabic,mt5_base,PostTemp,0.0027830529056480048,0.07429836404698949,-0.25551272858370794,-0.059477103877023485,0.1416594144359768
main,experimental,Arabic,mt5_large,AntTemp,0.10698298890647492,0.07933558816429828,0.0715610706320511,0.0859598825676081,0.015200636627375873
main,experimental,Arabic,mt5_large,IFG,0.3037624921323608,0.05151070989578269,0.14983261022189862,0.1683686040833474,0.10381209856179659
main,experimental,Arabic,mt5_large,IFGorb,0.06332126383934276,-0.034107918750331354,-0.08656436933582484,-0.019117008082271143,0.06210191253133056
main,experimental,Arabic,mt5_large,MFG,0.2923204514017148,0.10928759446061885,0.3982979816934014,0.26663534251857834,0.11937767685198285
main,experimental,Arabic,mt5_large,PostTemp,0.1727845415302381,0.20143188417752728,0.08053788747569841,0.1515847710611546,0.0515810838104553
main,experimental,Arabic,mgpt,AntTemp,0.009424636654162533,0.050435853863628456,0.10699650285593319,0.05561899779124139,0.04000179999495708
main,experimental,Arabic,mgpt,IFG,0.197625911229758,0.15346599135332376,0.25558632108425255,0.2022260745557781,0.04181715408025714
main,experimental,Arabic,mgpt,IFGorb,0.06030666640712839,-0.032283561983860926,-0.16523651852808624,-0.04573780470160626,0.09256779336612747
main,experimental,Arabic,mgpt,MFG,0.3551387296986251,0.36200097053828706,0.5628690873883325,0.4266695958750815,0.09634832191476393
main,experimental,Arabic,mgpt,PostTemp,0.0577382003374967,0.14664982757649137,0.03943343797887364,0.08127382196428724,0.04682793086472094
main,experimental,Arabic,xglm_small,AntTemp,0.21869654402218913,0.3118670320459565,0.10142672175408018,0.2106634326074086,0.0860994742848333
main,experimental,Arabic,xglm_small,IFG,0.08496412391446943,0.20378192912373225,0.1693771917739842,0.1527077482707286,0.04991873708817664
