train,model,roi,r,r_random,SE,z,p,sig
pereira,mt5_base,IFGorb,0.09434992539942857,0.0027424670465407345,0.04404120966606359,6.010739741137466,1.8467868099174212e-09,***
pereira,mt5_base,MFG,0.0021891010631129946,0.01290249021589403,0.04650853686404565,-1.2886871290237252,0.19750687889106644,
pereira,mt5_base,PostTemp,-0.014979414152355422,0.033431257679953606,0.029475350879075022,-3.524243823205325,0.0004246932561206854,***
control,mt5_large,AntTemp,0.1358529300794843,0.019588871497199553,0.04952556956742251,8.152280732559008,3.5712407776376085e-16,***
control,mt5_large,IFG,0.09061968592430882,0.047790059716094714,0.03472668884940334,2.702532850666033,0.006881338413251237,**
control,mt5_large,IFGorb,0.13091394669155473,0.034498332866900704,0.03790003836935434,6.819244680123209,9.152041052756307e-12,***
control,mt5_large,MFG,0.045520294621754706,0.004077978568338901,0.029799356983218606,2.506275169520882,0.012201062538880064,*
control,mt5_large,PostTemp,0.0842590382857295,-0.0028686830730855987,0.02559123983084303,5.908903399105796,3.4439257270296977e-09,***
main,mt5_large,AntTemp,0.14918119070251828,0.012991260732924571,0.033284680050347334,10.763618096481236,5.1122748240750514e-27,***
main,mt5_large,IFG,0.1418508601563816,-0.013083327002889155,0.0465480962250277,12.161033240112504,5.012070720472943e-34,***
main,mt5_large,IFGorb,0.15033460667782597,-0.01599517481247202,0.0467365749866124,12.446486899988257,1.4613728006844456e-35,***
main,mt5_large,MFG,0.1207317448419612,-0.03549755089191329,0.06143624081150845,12.525401538299908,5.421626645708403e-36,***
main,mt5_large,PostTemp,0.1844306492738842,-0.01461828570822469,0.03142330730678415,15.814838575049244,2.458389772662532e-56,***
natstor,mt5_large,AntTemp,0.2419720655421979,-0.045228181935658376,0.04882367765206474,22.032268770297538,1.4131514889627503e-107,***
natstor,mt5_large,IFG,0.1629089738007653,-0.003729709871268101,0.0476550537921615,12.630886598764059,1.426617121575082e-36,***
