dataset,perturb_type,model,r,SE
Pereira2018,verbs,bert_base,0.0387651574717644,0.02948945834684859
Pereira2018,verbs,distilmbert,0.001397609310747741,0.03203589030280646
Pereira2018,verbs,infoxlm_base,0.019347058370000076,0.02874426953253288
Pereira2018,verbs,infoxlm_large,0.04990845491023015,0.02525055269413462
Pereira2018,verbs,mdeberta,0.08830620603824711,0.03399031900512725
Pereira2018,verbs,mgpt,0.1803010377838148,0.08978576365784209
Pereira2018,verbs,mt5_base,0.04131293082163155,0.030714977119342513
Pereira2018,verbs,mt5_large,0.05790218966778185,0.02991560477751913
Pereira2018,verbs,mt5_small,-0.014973840740239223,0.020291613688382868
Pereira2018,verbs,multiminilm,0.06488973798995243,0.022230937754986538
Pereira2018,verbs,nllb200_1B,0.04779531564628024,0.04707103904908258
Pereira2018,verbs,nllb200_distilled_1B,0.05440178842329837,0.04041466875318692
Pereira2018,verbs,nllb200_distilled_600M,0.03426550353882383,0.043257529846413754
Pereira2018,verbs,xglm_large,-0.002233871962712534,0.027468438966765787
Pereira2018,verbs,xglm_med,0.033700043511281835,0.04237310084597542
Pereira2018,verbs,xglm_small,0.022926140050454943,0.0901228868837789
Pereira2018,verbs,xglm_xl,0.11850506387091626,0.034169718164005804
Pereira2018,verbs,xlm_align,0.029631970184424334,0.02170151965240104
Pereira2018,verbs,xlmr_base,0.020926847454944723,0.023570614402148773
Pereira2018,verbs,xlmr_large,0.021069264252301226,0.023550129840693514
Tuckute2024,1LocalWordSwap,bert_base,0.020184598416572656,0.05216142120577689
Tuckute2024,1LocalWordSwap,distilmbert,0.06626862444252826,0.03357256803707912
Tuckute2024,1LocalWordSwap,infoxlm_base,0.09824353761146745,0.04209977766348084
Tuckute2024,1LocalWordSwap,infoxlm_large,0.10125273629991388,0.03629403938938291
Tuckute2024,1LocalWordSwap,mdeberta,0.10910751398240519,0.031843837098483437
Tuckute2024,1LocalWordSwap,mgpt,-0.059628327539344265,0.09090983601831015
Tuckute2024,1LocalWordSwap,mt5_base,0.08206916564354128,0.03773151856999867
