train,condition,language,model,r1,r2,r3,r_mean,r_sd
control,random_1,Mandarin,xglm_large,0.06498603901524937,-0.10026756266265958,-0.1601590254475121,-0.06514684969830743,0.09521090053955154
control,random_2,Mandarin,xglm_large,-0.11755854137428283,-0.20534733619282977,-0.2064101486821616,-0.17643867541642475,0.041636802880883464
control,random_3,Mandarin,xglm_large,-0.03458434082640772,-0.005764033500971642,-0.1268056922724563,-0.055718022199945226,0.0516252209411691
control,random_0,Mandarin,xglm_xl,-0.13034054869877415,0.19807759805528727,0.020375669913195255,0.029370906423236125,0.13422693591885532
control,random_1,Mandarin,xglm_xl,0.2603919524658997,0.13710209493654238,0.04525023527038112,0.14758142755760775,0.08814326190392668
control,random_2,Mandarin,xglm_xl,-0.09260356281810088,-0.06782397732146045,-0.13603451598734104,-0.09882068537563411,0.028191711026989703
control,random_3,Mandarin,xglm_xl,0.12885138693645817,-0.000376677789059935,-0.0906234247413246,0.01261709480202454,0.09007007211003801
natstor,random_0,Mandarin,nllb200_distilled_600M,-0.08293523071430632,0.047589930434676755,0.13348750739221682,0.03271406903752908,0.0889781577377712
natstor,random_1,Mandarin,nllb200_distilled_600M,-0.17023144036764573,0.19979879683358714,-0.010196505154833177,0.0064569504370360796,0.15152248963583578
natstor,random_2,Mandarin,nllb200_distilled_600M,-0.1836479166015501,0.2590522551400612,0.049792939424058,0.041732425987523025,0.18082143940484208
natstor,random_3,Mandarin,nllb200_distilled_600M,-0.015740626452837178,0.15530058616927436,-0.007168716153850866,0.04413041452086211,0.07868703709335505
natstor,random_0,Mandarin,nllb200_distilled_1B,-0.0048036677508774715,-0.11797898396396844,-0.08421851008282889,-0.0690003872658916,0.04744018336485659
natstor,random_1,Mandarin,nllb200_distilled_1B,-0.1993045369517415,0.34149180012796665,-0.008719968623960586,0.044489098184088194,0.2239621592183895
natstor,random_2,Mandarin,nllb200_distilled_1B,-0.15988191200466925,0.36589387982118504,-0.03420506712190736,0.057268966898202815,0.22418098342256154
