model,language,mrr,r,r_last
mt5_base,nl,0.05934199668601691,0.10328879289956905,0.15540867986938414
mt5_base,fa,0.06310462778832072,0.434382378396857,0.352669138281438
mt5_base,fr,0.07326009945504731,0.19232622955615644,0.21423104474752824
mt5_base,lt,0.05118864288291359,0.4101055851759621,0.32832579172855264
mt5_base,no,0.056623795755721094,0.14129882892579593,0.2134993638851144
mt5_base,ro,0.06112919214636511,0.2962728576237741,0.24228147999175306
mt5_base,es,0.07310988837749258,0.27886300985998325,0.2194571259663916
mt5_base,ta,0.03381089252231364,0.33383982357339304,0.2755863181895861
mt5_base,tr,0.04714105153356194,0.3394898107252893,0.35862260995694667
mt5_base,vi,0.04684824433818425,0.200286411511992,0.15454980688542214
mt5_base,mr,0.03683027890431313,-0.02810971520054693,0.08254903349783521
mgpt,af,0.3798449142957973,0.521863833161782,0.24106330288314556
mgpt,fa,0.4300045940087093,0.27253714377258353,0.06585573737938101
mgpt,fr,0.5040879915155251,0.601729664449578,0.4579050272461939
mgpt,lt,0.320816533178992,0.19778510827692236,0.1525988384606191
mgpt,mr,0.05277298887103598,0.3469466822985705,-0.03384133855394469
mgpt,ro,0.40470200490610364,0.25085751517151544,0.10519948110421666
mgpt,es,0.4922956548776363,0.5840410463854668,0.5398485107544038
mgpt,ta,0.04438727488274278,-0.102018831582105,-0.10462753419387659
mgpt,tr,0.4639707974546948,0.3679620014011258,0.39789813910806177
mgpt,vi,0.4872853468205957,-0.06416563393747049,0.00035399420713563986
infoxlm_large,af,0.9292390438058298,0.40412678374811856,-0.010799081411590628
infoxlm_large,nl,0.9397750102142178,0.26400862525223356,0.1710903444974348
infoxlm_large,fa,0.930441795940562,0.5973667210048009,0.439831770300476
infoxlm_large,fr,0.9224015897890994,0.47632943293730867,0.19008639343707992
infoxlm_large,lt,0.9037607140979994,0.5039780983781349,0.3676385731409749
infoxlm_large,no,0.9553475501507424,0.2923350140678363,0.23251210095504002
infoxlm_large,ro,0.9526496088098512,0.22909833795069223,0.2853901944821415
infoxlm_large,es,0.9443680682410435,0.36026504597778786,0.3055417662121182
infoxlm_large,ta,0.7250104646557115,0.4382005659893377,0.12869826585562488
infoxlm_large,tr,0.9758062432116297,0.27391856384457103,0.24997966239040134
infoxlm_large,vi,0.9747456829212744,0.17000506362070195,0.16550286682590348
infoxlm_large,mr,0.8769920946965829,0.036435014927154695,-0.25285561903882936
xglm_small,es,0.3338290717478376,0.43853744742811895,0.39048642331305095
xglm_small,vi,0.3413684503835096,0.019051868996653683,0.02184037403433255
xglm_small,ta,0.14308771852362728,0.5329956302978641,0.45716649043498186
xglm_small,tr,0.23872456247305665,0.1945503180241505,0.25751870323705206
xglm_small,fr,0.43144122061398804,0.4370843082244035,0.22552428584352308
multiminilm,af,0.7168674403997191,0.27898096580457366,0.2190565450299625
multiminilm,nl,0.8194926769382183,0.32695477918839244,0.11240147500653443
multiminilm,fa,0.7767939365243272,0.4444051776156858,0.1986690371253546
multiminilm,fr,0.7835592684938967,0.29524836091157625,0.3166424667492426
multiminilm,lt,0.7028130731969499,0.4446001081788684,0.44018493383629115
multiminilm,no,0.8269398850612926,0.19034803979877368,0.266462629472222
multiminilm,ro,0.8045416132467639,0.32995354098454927,0.3203523616066688
multiminilm,es,0.8256049405473227,0.3543925195640275,0.3522143234650817
multiminilm,ta,0.6482131967336312,0.47177199439721895,0.41237909227413977
multiminilm,tr,0.7403716594050508,0.2867391439362208,0.32520006674223745
multiminilm,vi,0.7387057484450863,0.14849212317690352,0.12028521779466282
multiminilm,mr,0.658606537373275,0.08214499753795795,0.12409329469118863
distilmbert,af,0.4726983923005776,0.24360392727000743,0.3204051011534626
distilmbert,nl,0.5158026129408889,0.28748163522977693,0.17463844288366004
distilmbert,fa,0.39404178776977977,0.30411116701033253,0.33079477503147364
distilmbert,fr,0.5236109130837241,0.4156594643836458,0.405792627801575
distilmbert,lt,0.2026506856166754,0.3007925039695859,0.1781882830998264
distilmbert,no,0.517063934643136,0.029692888820418536,-0.11451130135599234
distilmbert,ro,0.41026032795199824,0.2552363795180801,0.06067817132203713
distilmbert,es,0.5276512283489522,0.32259281537798057,0.2090498894555223
distilmbert,ta,0.10148785691505494,0.18011445399339107,-0.1372617366485103
distilmbert,tr,0.26799463212032837,0.3711566377791948,0.22861981846703114
distilmbert,vi,0.11627434572727471,0.08896663445931058,-0.027114880998135703
distilmbert,mr,0.1394815789945455,0.06166520187574366,-0.018009059293764073
