lang,mod,ppx,ppx_random,ppx_diff,ppx_ratio,ppx_residuals
fa,xlmr_large,459.1263232463167,522.7990867102133,-63.67276346389656,0.8782079673004665,46.3115659450616
ro,xlmr_large,208.51656529309358,268.0392294826486,-59.522664189555,0.7779330126248994,-7.085984859606754
lt,xlmr_large,261.479011421869,302.4151438027626,-40.93613238089358,0.8646359707184755,19.265714938895655
fr,mt5_large,341.46997849085994,415.84619904957424,-74.3762205587143,0.8211448830632507,11.448543756217873
ta,mt5_large,142.11988594818618,201.07135295113608,-58.9514670029499,0.7068131977145637,-21.642147089471138
es,mt5_large,316.5836679945961,371.9598364433356,-55.37616844873946,0.8511232584188549,20.53511473149257
tr,mt5_large,288.518477754502,360.43592649987977,-71.91744874537778,0.8004709201889125,1.3907008635567877
vi,mt5_large,558.6984337294327,712.4652198820459,-153.76678615261312,0.7841764315483774,-0.9388141761298812
mr,mt5_large,155.52490594326738,199.06237017144431,-43.53746422817693,0.7812873212014914,-6.681953008417082
af,mt5_large,349.3961548215091,426.0067185144192,-76.61056369291009,0.8201658322195756,11.509358207471564
nl,mt5_large,315.2477581315744,402.8631390271194,-87.615380895545,0.7825182489836902,-4.7233572535659505
no,mt5_large,309.3630503030753,355.11542091757383,-45.752370614498545,0.8711619717998161,26.35393111767081
fa,mt5_large,425.8512767656347,522.68534838585,-96.83407162021535,0.8147373521770659,13.124565462792134
ro,mt5_large,189.1089457973648,267.92794163904574,-78.81899584168093,0.7058201717987802,-26.40745529910444
lt,mt5_large,254.8208076208861,302.4284659291319,-47.60765830824582,0.842582085776933,12.597198343841484
es,xglm_large,262.0052710454385,371.8234608951651,-109.8181898497266,0.7046496485581107,-33.937712513126485
vi,xglm_large,440.78674528808534,712.2618074810024,-271.47506219291705,0.6188549500456574,-118.69303900053336
ta,xglm_large,122.66512891563116,201.00197856523044,-78.33684964959929,0.6102682659704421,-41.04320070142876
tr,xglm_large,249.75822013830035,360.346407457437,-110.58818731913667,0.693105897462849,-37.30025914770002
fr,xglm_large,279.2246709457443,416.2774110777979,-137.0527401320536,0.6707658487228367,-51.13056942358622
