model,language,mrr,r,r_last
xglm_xl,ta,0.6365941115145787,0.7406611903419167,0.6928633267535288
xglm_xl,tr,0.8036829335407284,0.3438836973519806,0.3621768158346952
xglm_xl,fr,0.9338205018794439,0.7291114656657043,0.6589953454027827
xlmr_large,af,0.7447957016284888,0.34776938699791354,0.3771859391105108
xlmr_large,nl,0.7779591882261745,0.20046730129609774,-0.0658122200478859
xlmr_large,fa,0.7393132630495757,0.6657977768571866,0.6062637449800102
xlmr_large,fr,0.7692076016639579,0.435788085611812,0.5316754204463289
xlmr_large,lt,0.6926263931837651,0.4780155417238791,0.41082492627963313
xlmr_large,no,0.7741247613431811,0.15451319602731675,0.08972971550861955
xlmr_large,ro,0.7835385315542923,-0.009111833398440983,0.038315822786147674
xlmr_large,es,0.7661304901848106,0.4361789133118836,0.4066756500433814
xlmr_large,ta,0.489646560279809,0.6824543003116306,0.6853227028681703
xlmr_large,tr,0.7572165102696776,0.25507773348348217,0.18544523692971632
xlmr_large,vi,0.7689459308462876,0.16248016757873113,0.16663742737233805
xlmr_large,mr,0.48371865749598314,0.3998588766852194,0.3459815294197934
xglm_med,es,0.1548608793969608,0.3223633950530099,0.38378718667714046
xglm_med,vi,0.06524090194732675,0.23366962014885,0.016614465615624976
xglm_med,ta,0.038313294345511104,0.5915814545488265,0.6608797122848745
xglm_med,tr,0.07478161955564054,0.1380070470118416,0.2678443379037131
xglm_med,fr,0.19950479953957104,0.6473379865730228,0.4989511331213956
xglm_large,es,0.8888475027100065,0.46235085458685027,0.4974234971419527
xglm_large,vi,0.8884777949394541,0.16053127417253144,0.047018406440141644
xglm_large,ta,0.8068797573056113,0.7958442978327708,0.7211530282613268
xglm_large,tr,0.8982948948315354,0.3427905080889454,0.39225238828127534
xglm_large,fr,0.9507964742441043,0.6693433346222321,0.5985598523701419
xlmr_base,af,0.7621365648225111,0.05814067066946718,0.10188125538094073
xlmr_base,nl,0.8538849794901112,0.17380081874499143,-0.04399170543041041
xlmr_base,fa,0.8431552851632422,0.6353651070292147,0.6234613564515289
xlmr_base,fr,0.8306465748850567,0.6045158171723333,0.4786921812041501
xlmr_base,lt,0.7774336289917664,0.5837314598572696,0.42850509132261994
